COVER,BLOCK,TREAT
14.00,BLOCK 1,CONTROL
23.00,BLOCK 1,CONTROL
22.00,BLOCK 2,CONTROL
35.00,BLOCK 2,CONTROL
67.00,BLOCK 3,CONTROL
82.00,BLOCK 3,CONTROL
94.00,BLOCK 4,CONTROL
95.00,BLOCK 4,CONTROL
34.00,BLOCK 5,CONTROL
53.00,BLOCK 5,CONTROL
58.00,BLOCK 6,CONTROL
75.00,BLOCK 6,CONTROL
19.00,BLOCK 7,CONTROL
47.00,BLOCK 7,CONTROL
53.00,BLOCK 8,CONTROL
61.00,BLOCK 8,CONTROL
4.00,BLOCK 1,L
4.00,BLOCK 1,L
7.00,BLOCK 2,L
8.00,BLOCK 2,L
28.00,BLOCK 3,L
58.00,BLOCK 3,L
27.00,BLOCK 4,L
35.00,BLOCK 4,L
11.00,BLOCK 5,L
33.00,BLOCK 5,L
16.00,BLOCK 6,L
31.00,BLOCK 6,L
6.00,BLOCK 7,L
8.00,BLOCK 7,L
15.00,BLOCK 8,L
17.00,BLOCK 8,L
11.00,BLOCK 1,f
24.00,BLOCK 1,f
14.00,BLOCK 2,f
31.00,BLOCK 2,f
52.00,BLOCK 3,f
59.00,BLOCK 3,f
83.00,BLOCK 4,f
89.00,BLOCK 4,f
33.00,BLOCK 5,f
34.00,BLOCK 5,f
39.00,BLOCK 6,f
52.00,BLOCK 6,f
43.00,BLOCK 7,f
53.00,BLOCK 7,f
30.00,BLOCK 8,f
37.00,BLOCK 8,f
3.00,BLOCK 1,Lf
5.00,BLOCK 1,Lf
3.00,BLOCK 2,Lf
6.00,BLOCK 2,Lf
9.00,BLOCK 3,Lf
31.00,BLOCK 3,Lf
21.00,BLOCK 4,Lf
57.00,BLOCK 4,Lf
5.00,BLOCK 5,Lf
9.00,BLOCK 5,Lf
26.00,BLOCK 6,Lf
43.00,BLOCK 6,Lf
4.00,BLOCK 7,Lf
12.00,BLOCK 7,Lf
12.00,BLOCK 8,Lf
18.00,BLOCK 8,Lf
10.00,BLOCK 1,fF
13.00,BLOCK 1,fF
10.00,BLOCK 2,fF
15.00,BLOCK 2,fF
44.00,BLOCK 3,fF
50.00,BLOCK 3,fF
57.00,BLOCK 4,fF
73.00,BLOCK 4,fF
26.00,BLOCK 5,fF
42.00,BLOCK 5,fF
38.00,BLOCK 6,fF
42.00,BLOCK 6,fF
29.00,BLOCK 7,fF
36.00,BLOCK 7,fF
11.00,BLOCK 8,fF
40.00,BLOCK 8,fF
1.00,BLOCK 1,LfF
2.00,BLOCK 1,LfF
3.00,BLOCK 2,LfF
5.00,BLOCK 2,LfF
6.00,BLOCK 3,LfF
9.00,BLOCK 3,LfF
7.00,BLOCK 4,LfF
22.00,BLOCK 4,LfF
5.00,BLOCK 5,LfF
6.00,BLOCK 5,LfF
10.00,BLOCK 6,LfF
17.00,BLOCK 6,LfF
5.00,BLOCK 7,LfF
14.00,BLOCK 7,LfF
5.00,BLOCK 8,LfF
7.00,BLOCK 8,LfF
