"Org","Post","Salary"
"CEDP","FT1",89504
"CEDP","FT1",106554
"CHEM","FT1",108158
"CEDP","FT1",92961
"CHEM","FT1",154703
"CEDP","FT1",81840
"BFIN","FT1",238000
"THTR","FT1",86794
"CEDP","FT1",84121
"THTR","FT1",80450
"CEDP","FT1",98434
"CHEM","FT1",194192
"CEDP","FT1",92896
"THTR","FT1",72240
"CEDP","FT1",88374
"BFIN","FT1",234000
"THTR","FT1",81566
"CEDP","FT1",102300
"CHEM","FT1",159753
"CHEM","FT1",121313
"CHEM","FT2",123200
"BFIN","FT2",183000
"THTR","FT2",62611
"BFIN","FT2",222000
"CEDP","FT2",63000
"CHEM","FT2",120000
"BFIN","FT2",200000
"CEDP","FT2",65115
"BFIN","FT2",198000
"CEDP","FT2",83762
"CEDP","FT2",75559
"BFIN","FT2",146000
"CHEM","FT2",83164
"CHEM","FT2",135794
"CHEM","FT2",82762
"BFIN","FT2",134000
"CHEM","FT2",88147
"THTR","FT2",59210
"CEDP","FT2",66186
"THTR","FT2",63924
"CHEM","FT2",123610
"CHEM","FT2",88271
"THTR","FT2",62315
"BFIN","FT2",174000
"THTR","FT2",63261
"CEDP","FT2",66794
"THTR","FT2",71706
"CEDP","FT2",79236
"CHEM","FT2",104568
"BFIN","FT2",180000
"CHEM","FT3",77169
"CHEM","FT3",81773
"CEDP","FT3",59568
"CHEM","FT3",75000
"THTR","FT3",53000
"CHEM","FT3",75000
"THTR","FT3",51991
"CEDP","FT3",57000
"CHEM","FT3",75000
"THTR","FT3",56985
"THTR","FT3",51365
"CHEM","FT3",76714
"CEDP","FT3",58890
"BFIN","FT3",188000
"THTR","FT3",52140
"THTR","FT3",53000
"CHEM","FT3",80017
"BFIN","FT3",165000
"THTR","FT3",53000
"CEDP","FT3",57443
"BFIN","FT3",190000
"CHEM","FT3",75000
"BFIN","FT3",177000
"CEDP","FT3",57443
"BFIN","FT3",180000
"CHEM","FT3",78000
"BFIN","FT3",180000
"CHEM","FT3",68523
"BFIN","FT3",176000
"CEDP","FT3",57000
"CEDP","FT3",58500
"CEDP","FT3",57443
"BFIN","FT3",171000
"BFIN","FT3",176000
