# Data from Solari, Liseo & Sun 2008
#
#    (Pompilj and Napolitani, 1954). An experiment is conducted 
#    to analyze the possible influence of some types of manuring 
#    on the ascorbic acid content in tomatoes. The treatments 
#    under study are nine manures obtained as different 
#    combinations of calcium nitrate and calcium superphosphate.
#
#    T1   T2   T3   T4   T5   T6   T7   T8   T9
#    7.12 4.42 6.49 8.07 8.05 5.09 5.87 6.57 4.13
#    7.16 5.68 8.09 2.86 5.82 4.57 5.36 5.08 7.31
#    4.57 5.15 8.79 6.84 2.47 6.06 5.85 5.95 4.47
#    3.79 3.83 8.44 6.85 3.28 4.87 6.27 7.51 2.53
#    4.20 3.30 6.11 4.12 5.38 4.52 5.96 3.79 3.96
#    5.84 4.44 5.17 3.32 3.98 5.08 4.95 4.33 5.30
#    5.56 3.51 8.13 1.74 6.08 4.29 5.85 3.70 2.66
#    5.02 4.60 7.58 1.74 6.28 6.19 4.70 5.21 4.12
#    3.69 4.85 6.47 1.57 5.72 3.45 1.53 4.48 3.54
#    2.99 4.84 5.45 3.02 2.88 5.85 3.88 5.17 2.98
#    4.99 5.45 6.18 5.08 6.40 2.51 2.88 4.69 5.08
#    2.16 4.71 4.34 4.96 4.58 4.93 2.07 2.12 5.15
Type Acid
1 7.12
1 7.16
1 4.57
1 3.79
1 4.20
1 5.84
1 5.56
1 5.02
1 3.69
1 2.99
1 4.99
1 2.16
2 4.42
2 5.68
2 5.15
2 3.83
2 3.30
2 4.44
2 3.51
2 4.60
2 4.85
2 4.84
2 5.45
2 4.71
3 6.49
3 8.09
3 8.79
3 8.44
3 6.11
3 5.17
3 8.13
3 7.58
3 6.47
3 5.45
3 6.18
3 4.34
4 8.07
4 2.86
4 6.84
4 6.85
4 4.12
4 3.32
4 1.74
4 1.74
4 1.57
4 3.02
4 5.08
4 4.96
5 8.05
5 5.82
5 2.47
5 3.28
5 5.38
5 3.98
5 6.08
5 6.28
5 5.72
5 2.88
5 6.40
5 4.58
6 5.09
6 4.57
6 6.06
6 4.87
6 4.52
6 5.08
6 4.29
6 6.19
6 3.45
6 5.85
6 2.51
6 4.93
7 5.87
7 5.36
7 5.85
7 6.27
7 5.96
7 4.95
7 5.85
7 4.70
7 1.53
7 3.88
7 2.88
7 2.07
8 6.57
8 5.08
8 5.95
8 7.51
8 3.79
8 4.33
8 3.70
8 5.21
8 4.48
8 5.17
8 4.69
8 2.12
9 4.13
9 7.31
9 4.47
9 2.53
9 3.96
9 5.30
9 2.66
9 4.12
9 3.54
9 2.98
9 5.08
9 5.15
