 Aircraft    Failure      Days        DaysTransf
    1.          1.        194.          2.867876
    1.          2.         15.          1.718772
    1.          3.         41.          2.101632
    1.          4.         29.          1.961009
    1.          5.         33.          2.012347
    1.          6.        181.          2.828367
    2.          1.        413.          3.335723
    2.          2.         14.          1.695218
    2.          3.         58.          2.252608
    2.          4.         37.          2.058924
    2.          5.        100.          2.511886
    2.          6.         65.          2.304532
    2.          7.          9.          1.551846
    2.          8.        169.          2.789827
    2.          9.        447.          3.388921
    2.         10.        184.          2.837681
    2.         11.         36.          2.047673
    2.         12.        201.          2.888279
    2.         13.        118.          2.596429
    3.          1.         90.          2.459509
    3.          2.         10.          1.584893
    3.          3.         60.          2.267933
    3.          4.        186.          2.843823
    3.          5.         61.          2.275443
    3.          6.         49.          2.177906
    3.          7.         14.          1.695218
    3.          8.         24.          1.888175
    3.          9.         56.          2.236854
    3.         10.         20.          1.820564
    3.         11.         79.          2.396213
    3.         12.         84.          2.425805
    3.         13.         44.          2.131526
    3.         14.         59.          2.260322
    3.         15.         29.          1.961009
    3.         16.        118.          2.596429
    3.         17.         25.          1.903654
    3.         18.        156.          2.745522
    3.         19.        310.          3.149723
    3.         20.         76.          2.377731
    3.         21.         26.          1.918645
    3.         22.         44.          2.131526
    3.         23.         23.          1.872171
    3.         24.         62.          2.282855
    4.          1.         74.          2.365083
    4.          2.         57.          2.244786
    4.          3.         48.          2.168944
    4.          4.         29.          1.961009
    4.          5.        502.          3.468492
    4.          6.         12.          1.643752
    4.          7.         70.          2.338943
    4.          8.         21.          1.838416
    4.          9.         29.          1.961009
    4.         10.        386.          3.290921
    4.         11.         59.          2.260322
    4.         12.         27.          1.933182
    5.          1.         55.          2.228807
    5.          2.        320.          3.169786
    5.          3.         56.          2.236854
    5.          4.        104.          2.531668
    5.          5.        220.          2.940929
    5.          6.        239.          2.990058
    5.          7.         47.          2.15983 
    5.          8.        246.          3.007371
    5.          9.        176.          2.812565
    5.         10.        182.          2.831485
    5.         11.         33.          2.012347
    6.          1.         23.          1.872171
    6.          2.        261.          3.043183
    6.          3.         87.          2.44289 
    6.          4.          7.          1.475773
    6.          5.        120.          2.605171
    6.          6.         14.          1.695218
    6.          7.         62.          2.282855
    6.          8.         47.          2.15983 
    6.          9.        225.          2.954177
    6.         10.         71.          2.345588
    6.         11.        246.          3.007371
    6.         12.         21.          1.838416
    6.         13.         42.          2.111786
    6.         14.         20.          1.820564
    6.         15.          5.          1.37973 
    6.         16.         12.          1.643752
    6.         17.        120.          2.605171
    6.         18.         11.          1.615394
    6.         19.          3.          1.245731
    6.         20.         14.          1.695218
    6.         21.         71.          2.345588
    6.         22.         11.          1.615394
    6.         23.         14.          1.695218
    6.         24.         11.          1.615394
    6.         25.         16.          1.741101
    6.         26.         90.          2.459509
    6.         27.          1.          1.      
    6.         28.         16.          1.741101
    6.         29.         52.          2.203945
    6.         30.         95.          2.48625 
    7.          1.         97.          2.496631
    7.          2.         51.          2.195402
    7.          3.         11.          1.615394
    7.          4.          4.          1.319508
    7.          5.        141.          2.690567
    7.          6.         18.          1.782602
    7.          7.        142.          2.694373
    7.          8.         68.          2.325422
    7.          9.         77.          2.383956
    7.         10.         80.          2.402249
    7.         11.          1.          1.      
    7.         12.         16.          1.741101
    7.         13.        106.          2.541331
    7.         14.        206.          2.902508
    7.         15.         82.          2.414142
    7.         16.         54.          2.220643
    7.         17.         31.          1.987341
    7.         18.        216.          2.930156
    7.         19.         46.          2.15056 
    7.         20.        111.          2.564865
    7.         21.         39.          2.080717
    7.         22.         63.          2.290172
    7.         23.         18.          1.782602
    7.         24.        191.          2.858951
    7.         25.         18.          1.782602
    7.         26.        163.          2.769731
    7.         27.         24.          1.888175
    8.          1.         50.          2.186724
    8.          2.         44.          2.131526
    8.          3.        102.          2.521855
    8.          4.         72.          2.352158
    8.          5.         22.          1.855601
    8.          6.         39.          2.080717
    8.          7.          3.          1.245731
    8.          8.         15.          1.718772
    8.          9.        197.          2.876691
    8.         10.        188.          2.849913
    8.         11.         79.          2.396213
    8.         12.         88.          2.44848 
    8.         13.         46.          2.15056 
    8.         14.          5.          1.37973 
    8.         15.          5.          1.37973 
    8.         16.         36.          2.047673
    8.         17.         22.          1.855601
    8.         18.        139.          2.682891
    8.         19.        210.          2.913693
    8.         20.         97.          2.496631
    8.         21.         30.          1.97435 
    8.         22.         23.          1.872171
    8.         23.         13.          1.670278
    8.         24.         14.          1.695218
    9.          1.        359.          3.243537
    9.          2.          9.          1.551846
    9.          3.         12.          1.643752
    9.          4.        270.          3.063887
    9.          5.        603.          3.598019
    9.          6.          3.          1.245731
    9.          7.        104.          2.531668
    9.          8.          2.          1.148698
    9.          9.        438.          3.375164
   10.          1.         50.          2.186724
   10.          2.        254.          3.026682
   10.          3.          5.          1.37973 
   10.          4.        283.          3.092839
   10.          5.         35.          2.036168
   10.          6.         12.          1.643752
   11.          1.        487.          3.447512
   11.          2.         18.          1.782602
   11.          3.        100.          2.511886
   11.          4.          7.          1.475773
   11.          5.         98.          2.501758
   11.          6.          5.          1.37973 
   11.          7.         85.          2.431553
   11.          8.         91.          2.464951
   11.          9.         43.          2.121747
   11.         10.        230.          2.967191
   11.         11.          3.          1.245731
   11.         12.        130.          2.647212
   12.          1.        102.          2.521855
   12.          2.        209.          2.910913
   12.          3.         14.          1.695218
   12.          4.         57.          2.244786
   12.          5.         54.          2.220643
   12.          6.         32.          2.      
   12.          7.         67.          2.318542
   12.          8.         59.          2.260322
   12.          9.        134.          2.663305
   12.         10.        152.          2.731296
   12.         11.         27.          1.933182
   12.         12.         14.          1.695218
   12.         13.        230.          2.967191
   12.         14.         66.          2.311579
   12.         15.         61.          2.275443
   12.         16.         34.          2.024397
